V.T.R,Plant,Treatment,Repeat,!Var
1.1.1,1,1,1,Васса
1.1.2,1,1,2,Васса
1.2.1,1,2,1,Васса
1.2.2,1,2,2,Васса
1.3.1,1,3,1,Васса
1.3.2,1,3,2,Васса
2.1.1,2,1,1,Дон 93
2.1.2,2,1,2,Дон 93
2.2.1,2,2,1,Дон 93
2.2.2,2,2,2,Дон 93
2.3.1,2,3,1,Дон 93
2.3.2,2,3,2,Дон 93
3.1.1,3,1,1,Гром
3.1.2,3,1,2,Гром
3.2.1,3,2,1,Гром
3.2.2,3,2,2,Гром
3.3.1,3,3,1,Гром
3.3.2,3,3,2,Гром
4.1.1,4,1,1,Сила
4.1.2,4,1,2,Сила
4.2.1,4,2,1,Сила
4.2.2,4,2,2,Сила
4.3.1,4,3,1,Сила
4.3.2,4,3,2,Сила
5.1.1,5,1,1,Алексеич
5.1.2,5,1,2,Алексеич
5.2.1,5,2,1,Алексеич
5.2.2,5,2,2,Алексеич
5.3.1,5,3,1,Алексеич
5.3.2,5,3,2,Алексеич
6.1.1,6,1,1,Ермак
6.1.2,6,1,2,Ермак
6.2.1,6,2,1,Ермак
6.2.2,6,2,2,Ермак
6.3.1,6,3,1,Ермак
6.3.2,6,3,2,Ермак
7.1.1,7,1,1,Новосибирская 67
7.1.2,7,1,2,Новосибирская 67
7.2.1,7,2,1,Новосибирская 67
7.2.2,7,2,2,Новосибирская 67
7.3.1,7,3,1,Новосибирская 67
7.3.2,7,3,2,Новосибирская 67
8.1.1,8,1,1,Безостая 100
8.1.2,8,1,2,Безостая 100
8.2.1,8,2,1,Безостая 100
8.2.2,8,2,2,Безостая 100
8.3.1,8,3,1,Безостая 100
8.3.2,8,3,2,Безостая 100
9.1.1,9,1,1,Ультра 11
9.1.2,9,1,2,Ультра 11
9.2.1,9,2,1,Ультра 11
9.2.2,9,2,2,Ультра 11
9.3.1,9,3,1,Ультра 11
9.3.2,9,3,2,Ультра 11
10.1.1,10,1,1,Стан
10.1.2,10,1,2,Стан
10.2.1,10,2,1,Стан
10.2.2,10,2,2,Стан
10.3.1,10,3,1,Стан
10.3.2,10,3,2,Стан
11.1.1,11,1,1,Лебедь
11.1.2,11,1,2,Лебедь
11.2.1,11,2,1,Лебедь
11.2.2,11,2,2,Лебедь
11.3.1,11,3,1,Лебедь
11.3.2,11,3,2,Лебедь
12.1.1,12,1,1,Юбилейная 100
12.1.2,12,1,2,Юбилейная 100
12.2.1,12,2,1,Юбилейная 100
12.2.2,12,2,2,Юбилейная 100
12.3.1,12,3,1,Юбилейная 100
12.3.2,12,3,2,Юбилейная 100
13.1.1,13,1,1,Дмитрий
13.1.2,13,1,2,Дмитрий
13.2.1,13,2,1,Дмитрий
13.2.2,13,2,2,Дмитрий
13.3.1,13,3,1,Дмитрий
13.3.2,13,3,2,Дмитрий
14.1.1,14,1,1,Мироновская 808
14.1.2,14,1,2,Мироновская 808
14.2.1,14,2,1,Мироновская 808
14.2.2,14,2,2,Мироновская 808
14.3.1,14,3,1,Мироновская 808
14.3.2,14,3,2,Мироновская 808
15.1.1,15,1,1,Смуглянка
15.1.2,15,1,2,Смуглянка
15.2.1,15,2,1,Смуглянка
15.2.2,15,2,2,Смуглянка
15.3.1,15,3,1,Смуглянка
15.3.2,15,3,2,Смуглянка
16.1.1,16,1,1,Тайфун 7
16.1.2,16,1,2,Тайфун 7
16.2.1,16,2,1,Тайфун 7
16.2.2,16,2,2,Тайфун 7
16.3.1,16,3,1,Тайфун 7
16.3.2,16,3,2,Тайфун 7
17.1.1,17,1,1,Немчиновская 57
17.1.2,17,1,2,Немчиновская 57
17.2.1,17,2,1,Немчиновская 57
17.2.2,17,2,2,Немчиновская 57
17.3.1,17,3,1,Немчиновская 57
17.3.2,17,3,2,Немчиновская 57
