V.T.R,T:X:Y
1.1.1,3:9:5
1.1.2,4:9:3
1.2.1,4:5:1
1.2.2,3:6:2
1.3.1,4:2:2
1.3.2,4:11:4
2.1.1,4:5:4
2.1.2,3:1:5
2.2.1,3:5:4
2.2.2,4:1:4
2.3.1,3:3:3
2.3.2,4:5:5
3.1.1,4:7:5
3.1.2,4:6:4
3.2.1,3:9:4
3.2.2,4:3:5
3.3.1,3:7:1
3.3.2,4:8:2
4.1.1,3:1:1
4.1.2,3:9:3
4.2.1,4:2:1
4.2.2,4:3:4
4.3.1,3:5:5
4.3.2,4:9:2
5.1.1,4:5:3
5.1.2,3:3:5
5.2.1,4:2:4
5.2.2,3:7:4
5.3.1,4:6:5
5.3.2,3:6:1
6.1.1,4:1:3
6.1.2,4:9:5
6.2.1,3:11:3
6.2.2,3:4:4
6.3.1,3:8:1
6.3.2,3:3:2
7.1.1,3:10:5
7.1.2,3:3:1
7.2.1,3:11:1
7.2.2,3:5:2
7.3.1,3:9:1
7.3.2,3:1:2
8.1.1,4:7:1
8.1.2,4:10:1
8.2.1,4:5:2
8.2.2,4:6:1
8.3.1,3:6:5
8.3.2,3:9:2
9.1.1,4:7:3
9.1.2,3:8:3
9.2.1,3:10:3
9.2.2,3:8:4
9.3.1,3:5:1
9.3.2,3:4:1
10.1.1,3:2:5
10.1.2,4:8:3
10.2.1,4:4:1
10.2.2,4:1:5
10.3.1,4:1:2
10.3.2,4:11:3
11.1.1,4:8:5
11.1.2,4:11:1
11.2.1,4:4:2
11.2.2,3:5:3
11.3.1,4:3:2
11.3.2,4:7:2
12.1.1,3:7:5
12.1.2,3:8:5
12.2.1,3:2:4
12.2.2,4:1:1
12.3.1,4:10:4
12.3.2,4:9:4
13.1.1,4:8:1
13.1.2,3:7:3
13.2.1,3:6:3
13.2.2,3:3:4
13.3.1,3:1:3
13.3.2,3:2:2
14.1.1,4:4:4
14.1.2,4:3:3
14.2.1,3:4:2
14.2.2,3:1:4
14.3.1,4:10:3
14.3.2,3:7:2
15.1.1,4:2:3
15.1.2,3:2:1
15.2.1,3:10:1
15.2.2,3:4:3
15.3.1,3:8:2
15.3.2,3:4:5
16.1.1,4:4:3
16.1.2,4:9:1
16.2.1,3:6:4
16.2.2,4:3:1
16.3.1,3:2:3
16.3.2,4:4:5
17.1.1,3:11:5
17.1.2,4:6:3
17.2.1,4:6:2
17.2.2,4:2:5
17.3.1,4:7:4
17.3.2,4:8:4
